nombre;edad;altura;peso;salario;posicion;goles
Hans-Dieter Flick;57;1.80;75;5000000;Entrenador;-
Manuel Neuer;35;1.93;82;8000000;Portero;0
Mats Hummels;33;1.91;80;6000000;Defensa;3
Toni Kroos;32;1.83;78;7000000;Mediocampista;8
Thomas Müller;32;1.86;75;6000000;Delantero;9
Serge Gnabry;26;1.75;75;5000000;Delantero;10
Joshua Kimmich;27;1.76;73;7000000;Mediocampista;6
Leon Goretzka;27;1.89;79;6000000;Mediocampista;5
Antonio Rüdiger;29;1.90;85;5000000;Defensa;2
Leroy Sané;26;1.84;75;6000000;Delantero;7
Kai Havertz;22;1.89;79;6000000;Delantero;8
Robin Gosens;27;1.85;78;4000000;Defensa;1
Ilkay Gündogan;31;1.80;78;6000000;Mediocampista;4
Matthias Ginter;28;1.89;85;5000000;Defensa;2
Niklas Süle;26;1.95;80;5000000;Defensa;1
Emre Can;28;1.84;82;4000000;Mediocampista;3
Marcel Halstenberg;30;1.83;78;4000000;Defensa;2
Kevin Volland;29;1.79;76;4500000;Delantero;7
Jonas Hofmann;29;1.81;75;3500000;Mediocampista;6
