nombre;edad;altura;peso;salario;posicion;goles
Graham Arnold;59;1.80;74;2500000;Entrenador;-
Mathew Ryan;29;184;82;4000000;Portero;0
Trent Sainsbury;30;183;78;3500000;Defensa;1
Milos Degenek;28;188;80;3000000;Defensa;0
Aziz Behich;30;175;70;2800000;Defensa;0
Rhyan Grant;30;180;75;2700000;Defensa;0
Aaron Mooy;31;175;68;4500000;Mediocampista;3
Tom Rogic;28;193;90;4000000;Mediocampista;2
Mathew Leckie;31;181;79;3500000;Delantero;4
Jamie Maclaren;28;180;76;3200000;Delantero;5
Andrew Nabbout;29;175;72;3000000;Delantero;3
Mitchell Duke;30;187;82;2900000;Delantero;2
Ajdin Hrustic;25;185;80;2600000;Mediocampista;1
James Jeggo;29;182;77;2500000;Mediocampista;0
Harry Souttar;23;198;95;2700000;Defensa;1
Jackson Irvine;29;189;85;2400000;Mediocampista;1
Craig Goodwin;30;179;73;2200000;Delantero;2
Aziz Behich;30;175;70;2800000;Defensa;0
Dayro Moreno;38;1.76;70;230000;Delantero;10
