nombre;edad;altura;peso;salario;posicion;goles
Ivaylo Petev;46;1.85;75;2000000;Entrenador;-
Ibrahim Šehić;31;192;82;1000000;Portero;0
Ermin Bičakčić;31;189;85;1200000;Defensa;1
Darko Todorović;23;180;75;900000;Defensa;0
Sead Kolašinac;28;183;80;1500000;Defensa;1
Stjepan Lončar;25;188;85;800000;Defensa;0
Muhamed Bešić;29;180;75;1000000;Mediocampista;3
Miralem Pjanić;31;180;75;17000000;Mediocampista;5
Edin Džeko;35;193;89;12000000;Delantero;10
Armin Hodžić;31;185;80;700000;Delantero;4
Elvir Koljić;26;185;81;800000;Delantero;2
Rade Krunić;28;184;78;900000;Mediocampista;2
Amer Gojak;24;178;72;1000000;Mediocampista;1
Haris Duljević;28;177;75;800000;Mediocampista;1
Deni Milošević;27;184;80;700000;Defensa;0
Branislav Punoševac;25;185;78;700000;Defensa;0
Amar Rahmanović;26;182;76;750000;Delantero;3
Smail Prevljak;27;189;83;900000;Delantero;5
Anel Šabanadžović;24;186;79;800000;Mediocampista;2
