nombre;edad;altura;peso;salario;posicion;goles
Tite;61;1.75;72;4000000;Entrenador;-
Neymar;29;175;68;20000000;Delantero;15
Alisson;29;191;91;8000000;Portero;0
Casemiro;29;184;84;12000000;Mediocampista;5
Marquinhos;27;186;75;15000000;Defensa;3
Roberto Firmino;30;179;76;14000000;Delantero;10
Douglas Luiz;24;174;67;6000000;Mediocampista;4
David Luiz;35;175;86;10000000;Defensa;2
Everton;26;179;70;10000000;Delantero;8
Richarlison;25;177;71;12000000;Delantero;12
Gabriel Jesus;25;180;73;11000000;Delantero;9
Fabinho;28;187;78;13000000;Mediocampista;7
Arthur;26;176;73;9000000;Mediocampista;3
Thiago Silva;37;179;79;7000000;Defensa;1
Rodrygo;21;170;64;10000000;Delantero;6
Alex Sandro;31;175;80;8000000;Defensa;2
Ederson;29;171;86;10000000;Portero;0
Raphinha;26;173;67;9000000;Delantero;11
Danilo;30;172;70;7000000;Defensa;1
