nombre;edad;altura;peso;salario;posicion;goles
Martín Lasarte;60;1.80;72;3000000;Entrenador;-
Claudio Bravo;38;184;80;2000000;Portero;0
Gary Medel;34;171;72;2500000;Defensa;2
Arturo Vidal;34;177;75;4000000;Mediocampista;8
Eduardo Vargas;32;178;70;3000000;Delantero;9
Charles Aránguiz;32;174;70;3500000;Mediocampista;6
Jean Beausejour;37;180;75;2000000;Defensa;1
Alexis Sánchez;33;169;71;4500000;Delantero;10
Guillermo Maripán;28;193;88;3000000;Defensa;3
Erick Pulgar;27;185;80;3000000;Mediocampista;5
Mauricio Isla;33;176;75;2500000;Defensa;2
Pablo Galdames;24;177;70;2000000;Mediocampista;4
Cristián Zapata;35;187;82;2000000;Defensa;1
Ángelo Sagal;28;179;76;2000000;Delantero;8
Eugenio Mena;33;175;73;2000000;Defensa;2
Ben Brereton;23;188;84;3000000;Delantero;7
César Pinares;29;179;75;2500000;Mediocampista;3
Mauricio Pinilla;38;186;82;1500000;Delantero;6
Felipe Mora;28;185;79;2000000;Delantero;4
