nombre,edad,altura,peso,salario,posicion,goles
Patrice Beaumelle,43,-,-,2000000,Entrenador,-
Sylvain Gbohouo,33,182,78,1500000,Portero,0
Eric Bailly,27,187,82,3000000,Defensa,4
Serge Aurier,29,176,76,2500000,Defensa,2
Franck Kessié,25,183,78,2800000,Mediocampista,8
Nicolas Pépé,26,185,75,3200000,Delantero,11
Wilfried Zaha,29,180,73,3000000,Delantero,10
Max Gradel,34,175,68,2200000,Delantero,7
Jean Michaël Seri,30,174,72,2500000,Mediocampista,6
Seko Fofana,26,185,80,2000000,Mediocampista,15
Wilfried Kanon,28,190,85,2200000,Defensa,3
Maxwel Cornet,1.79,24,179,70,2400000,Delantero,13
Jean-Daniel Akpa Akpro,28,181,77,2100000,Mediocampista,16
André Zambo Anguissa,26,184,79,2600000,Mediocampista,14
Victorien Angban,25,183,75,2000000,Mediocampista,18
Simon Deli,1.86,29,186,80,2300000,Defensa,22
Sinaly Diomandé,21,187,84,2000000,Defensa,5
Odilon Kossounou,21,192,80,2200000,Defensa,23
Ali Badra Sangaré,27,188,85,1800000,Portero,1
