nombre;edad;altura;peso;salario;posicion;goles
Zlatko Dalić;55;-;-;2500000;Entrenador;-
Luka Modric;36;172;66;8000000;Centrocampista;10
Mateo Kovacic;28;178;78;6000000;Centrocampista;5
Ivan Perisic;33;187;86;7000000;Delantero;8
Domagoj Vida;32;183;74;5000000;Defensa;2
Marcelo Brozovic;29;182;75;6000000;Centrocampista;6
Ante Rebic;28;185;80;6000000;Delantero;7
Josko Gvardiol;20;190;82;3000000;Defensa;1
Andrej Kramaric;-;30;178;73;7000000;Delantero;6
Josip Brekalo;24;181;72;4000000;Delantero;3
Borna Barisic;28;186;81;4000000;Defensa;2
Dejan Lovren;32;188;84;4000000;Defensa;2
Nikola Vlasic;24;178;70;5000000;Centrocampista;4
Mario Pasalic;27;187;79;4000000;Centrocampista;2
Sime Vrsaljko;30;183;75;4500000;Defensa;1
Ivan Rakitic;34;184;78;6000000;Centrocampista;7
Ante Budimir;30;187;85;3500000;Delantero;4
Mislav Orsic;29;179;75;3500000;Delantero;5
Dominik Livakovic;26;187;80;3000000;Portero;0
