nombre;edad;altura;peso;salario;posicion;goles
Gustavo Alfaro;59;1.76;-;3000000;Entrenador;-
Alexander Domínguez;34;192;85;2000000;Portero;0
Robert Arboleda;30;185;80;1500000;Defensa;4
Pervis Estupiñán;24;176;70;2500000;Defensa;6
Enner Valencia;32;178;75;3000000;Delantero;13
Felipe Caicedo;33;184;82;2000000;Delantero;11
Renato Ibarra;30;170;68;1800000;Delantero;10
Moisés Caicedo;20;177;72;2000000;Mediocampista;8
Ángel Mena;33;168;65;2200000;Delantero;7
Gonzalo Plata;21;173;70;1800000;Delantero;9
Fernando Gaibor;29;178;75;1500000;Mediocampista;15
Xavier Arreaga;26;186;82;1800000;Defensa;3
Jhegson Méndez;24;174;72;2000000;Mediocampista;5
José Cifuentes;22;178;73;1800000;Mediocampista;16
Moisés Ramírez;21;180;74;1500000;Mediocampista;14
Mario Pineida;29;174;71;1800000;Defensa;2
Diego Palacios;22;170;68;2000000;Defensa;17
Félix Torres;25;186;83;1700000;Defensa;23
Pedro Ortiz;30;188;88;1800000;Portero;1
