nombre;edad;altura;peso;salario;posicion;goles
Didier Deschamps;53;-;-;5000000;Entrenador;-
Hugo Lloris;35;188;82;6000000;Portero;0
Raphael Varane;29;191;81;12000000;Defensa;2
Presnel Kimpembe;26;189;83;10000000;Defensa;1
Lucas Hernandez;26;183;74;9000000;Defensa;1
Benjamin Pavard;26;186;76;11000000;Defensa;0
N'Golo Kanté;31;168;70;15000000;Mediocampista;4
Paul Pogba;29;191;84;16000000;Mediocampista;6
Antoine Griezmann;31;176;73;18000000;Delantero;10
Kylian Mbappé;24;178;73;25000000;Delantero;15
Karim Benzema;34;185;81;20000000;Delantero;12
Ousmane Dembélé;25;178;67;15000000;Delantero;8
Kingsley Coman;26;178;74;14000000;Delantero;6
Corentin Tolisso;28;181;80;12000000;Mediocampista;3
Lucas Digne;28;178;72;9000000;Defensa;1
Moussa Sissoko;32;187;83;8000000;Mediocampista;2
Mike Maignan;27;191;80;7000000;Portero;0
Wissam Ben Yedder;31;170;68;14000000;Delantero;9
Jules Koundé;23;178;73;10000000;Defensa;1
