nombre,edad,altura,peso,salario,posicion,goles
Charles Akonnor,48,1.78,-,1500000,Entrenador,-
Richard Ofori,28,185,80,1000000,Portero,0
John Boye,34,183,82,1200000,Defensa,5
Andrew Yiadom,29,178,75,1300000,Defensa,2
Thomas Partey,28,185,80,2000000,Mediocampista,10
Jordan Ayew,30,182,77,1800000,Delantero,11
Jeffrey Schlupp,29,178,75,1600000,Delantero,7
Mubarak Wakaso,31,175,72,1500000,Mediocampista,6
Andre Ayew,31,183,79,1900000,Delantero,9
Daniel Amartey,26,188,85,1400000,Defensa,4
Kwadwo Asamoah,33,173,71,1700000,Mediocampista,8
Richmond Boakye,28,185,80,1500000,Delantero,13
Thomas Teye Partey,26,180,75,1800000,Mediocampista,14
Mohammed Kudus,21,175,70,2000000,Delantero,15
Gideon Mensah,23,177,74,1300000,Defensa,22
Baba Rahman,27,180,76,1400000,Defensa,23
Kwame Bonsu,26,184,78,1200000,Mediocampista,18
Caleb Ekuban,27,187,81,1700000,Delantero,19
Adam Larsen Kwarasey,33,190,88,1100000,Portero,1
