nombre;edad;altura;peso;salario;posicion;goles
John van 't Schip;58;1.85;-;1800000;Entrenador;-
Orestis Karnezis;36;192;86;1200000;Portero;0
Sokratis Papastathopoulos;33;187;85;2000000;Defensa;5
Kostas Manolas;30;189;82;2500000;Defensa;4
José Holebas;37;184;78;1500000;Defensa;3
Giorgos Tzavellas;33;186;84;1800000;Defensa;2
Kostas Fortounis;29;179;75;2200000;Mediocampista;10
Andreas Bouchalakis;28;183;80;2000000;Mediocampista;6
Dimitris Pelkas;27;177;73;2300000;Delantero;11
Vasilis Torosidis;36;186;83;1700000;Defensa;15
Kostas Mitroglou;33;192;88;2500000;Delantero;9
Panagiotis Tachtsidis;30;189;82;1800000;Mediocampista;8
Anastasios Bakasetas;28;180;75;2200000;Mediocampista;14
Vangelis Pavlidis;23;187;82;2400000;Delantero;7
Dimitris Giannoulis;25;179;74;2000000;Defensa;22
Marios Vrousai;23;176;70;2100000;Delantero;19
Kyriakos Papadopoulos;29;185;84;2000000;Defensa;23
Giorgos Masouras;27;181;76;2300000;Delantero;18
Alexandros Paschalakis;30;194;90;1300000;Portero;1
