nombre,edad,altura,peso,salario,posicion,goles
Fabián Coito,54,1.75,-,2000000,Entrenador,-
Luis López,27,188,80,1000000,Portero,0
Maynor Figueroa,38,183,82,800000,Defensa,1
Bryan Acosta,28,180,75,1200000,Mediocampista,2
Alberth Elis,25,180,77,1500000,Delantero,3
Romell Quioto,30,178,76,1100000,Delantero,4
Jonathan Paz,26,176,74,900000,Defensa,0
Emilio Izaguirre,36,180,75,700000,Defensa,0
Bryan Moya,25,175,70,800000,Mediocampista,1
Anthony Lozano,29,178,75,1300000,Delantero,5
Jhow Benavídez,23,175,72,600000,Mediocampista,1
Alexander López,29,170,67,900000,Mediocampista,3
Brayan Beckeles,35,177,75,700000,Defensa,0
Deybi Flores,24,177,75,600000,Mediocampista,1
Jerry Bengtson,34,187,85,1000000,Delantero,6
Félix Crisanto,32,176,73,500000,Defensa,0
Roger Espinoza,35,180,75,800000,Mediocampista,2
Andy Najar,28,170,68,900000,Delantero,4
Rubilio Castillo,31,178,74,700000,Delantero,3
