nombre,edad,altura,peso,salario,posicion,goles
Gareth Southgate,52,1.83,-,4000000,Entrenador,-
Jordan Pickford,28,185,77,6000000,Portero,0
John Stones,27,188,70,8000000,Defensa,2
Harry Maguire,29,194,100,9000000,Defensa,1
Kyle Walker,32,178,70,7000000,Defensa,1
Luke Shaw,26,185,75,8000000,Defensa,1
Declan Rice,23,185,73,10000000,Mediocampista,3
Kalvin Phillips,26,178,70,9000000,Mediocampista,2
Mason Mount,23,182,75,12000000,Mediocampista,4
Raheem Sterling,28,170,69,15000000,Delantero,10
Harry Kane,29,188,86,20000000,Delantero,15
Jadon Sancho,22,180,76,14000000,Delantero,8
Phil Foden,21,175,70,11000000,Mediocampista,5
Jack Grealish,26,175,72,13000000,Mediocampista,6
Jordan Henderson,32,182,80,10000000,Mediocampista,3
Tyrone Mings,29,193,85,7000000,Defensa,1
Ben Chilwell,25,178,75,9000000,Defensa,1
Kieran Trippier,31,178,71,8000000,Defensa,0
Marcus Rashford,24,180,70,16000000,Delantero,7
