nombre;edad;altura;peso;salario;posicion;goles
Roberto Mancini;57;1.80;-;6000000;Entrenador;-
Gianluigi Donnarumma;23;196;90;10000000;Portero;0
Leonardo Bonucci;35;190;85;8000000;Defensa;2
Giorgio Chiellini;37;187;85;7000000;Defensa;1
Alessandro Bastoni;22;190;74;6000000;Defensa;0
Giovanni Di Lorenzo;29;187;76;7000000;Defensa;1
Jorginho;30;180;68;12000000;Mediocampista;5
Marco Verratti;29;165;60;11000000;Mediocampista;3
Nicolò Barella;25;172;70;9000000;Mediocampista;4
Federico Chiesa;24;175;73;10000000;Delantero;10
Ciro Immobile;32;185;78;8000000;Delantero;12
Lorenzo Insigne;30;163;59;12000000;Delantero;8
Federico Bernardeschi;28;183;75;9000000;Delantero;6
Manuel Locatelli;24;186;75;8000000;Mediocampista;3
Giacomo Raspadori;22;174;68;7000000;Delantero;2
Gianluca Mancini;26;191;80;7000000;Defensa;1
Matteo Pessina;25;186;80;6000000;Mediocampista;1
Gianluca Scamacca;23;196;85;6000000;Delantero;4
Domenico Berardi;27;182;76;9000000;Delantero;5
