nombre,edad,altura,peso,salario,posicion,goles
Akira Nishino,67,1.75,-,2500000,Entrenador,-
Shuichi Gonda,33,187,80,1800000,Portero,0
Maya Yoshida,33,189,78,2000000,Defensa,2
Yuto Nagatomo,35,170,68,1800000,Defensa,3
Takumi Minamino,27,174,70,3000000,Delantero,9
Gaku Shibasaki,29,170,70,2500000,Mediocampista,6
Yuya Osako,31,185,80,2500000,Delantero,10
Wataru Endo,28,185,75,2000000,Mediocampista,8
Kosuke Nakamura,,26,184,77,1000000,Portero,0
Daichi Kamada,25,178,73,2500000,Delantero,7
Takehiro Tomiyasu,23,188,82,2000000,Defensa,2
Hiroki Sakai,31,183,75,1800000,Defensa,1
Ritsu Doan,23,178,70,2500000,Mediocampista,4
Takuma Asano,26,181,78,2000000,Delantero,8
Genki Haraguchi,30,182,75,2200000,Delantero,7
Wataru Endo,28,185,75,2000000,Mediocampista,6
Hidemasa Morita,26,173,68,2000000,Mediocampista,3
Shoya Nakajima,27,168,65,3000000,Delantero,5
Hiroki Abe,23,170,65,1500000,Delantero,6
