nombre;edad;altura;peso;salario;posicion;goles
Gernot Rohr;68;1.85;-;2500000;Entrenador;-
Francis Uzoho;23;196;90;1500000;Portero;0
William Troost-Ekong;28;188;85;2000000;Defensa;5
Leon Balogun;33;191;87;1800000;Defensa;6
Wilfred Ndidi;25;183;76;3000000;Mediocampista;8
Victor Osimhen;23;185;78;3500000;Delantero;9
Ahmed Musa;28;170;67;2500000;Delantero;7
Alex Iwobi;25;181;75;2800000;Delantero;11
Moses Simon;25;170;70;2000000;Delantero;13
Kenneth Omeruo;28;185;82;2200000;Defensa;4
Kelechi Iheanacho;24;186;79;2700000;Delantero;10
Joe Aribo;25;186;80;2400000;Mediocampista;17
Samuel Chukwueze;22;173;72;2600000;Delantero;14
Ola Aina;25;184;78;2200000;Defensa;2
Chidozie Awaziem;24;184;80;2000000;Defensa;12
Henry Onyekuru;24;175;72;2300000;Delantero;18
Semi Ajayi;28;195;85;2000000;Defensa;3
Samuel Kalu;24;180;73;2400000;Delantero;15
Maduka Okoye;22;197;94;1800000;Portero;1
