nombre;edad;altura;peso;salario;posicion;goles
Paulo Sousa;51;1.78;-;1800000;Entrenador;-
Wojciech Szczęsny;31;195;85;2000000;Portero;0
Kamil Glik;33;190;85;1500000;Defensa;5
Jan Bednarek;25;187;82;1200000;Defensa;2
Grzegorz Krychowiak;31;186;80;1600000;Mediocampista;6
Robert Lewandowski;33;184;80;2500000;Delantero;9
Arkadiusz Milik;27;186;82;1800000;Delantero;11
Piotr Zieliński;27;180;75;1700000;Mediocampista;8
Kamil Grosicki;33;180;75;1400000;Delantero;7
Jacek Góralski;29;182;80;1300000;Mediocampista;10
Bartosz Bereszyński;29;184;82;1100000;Defensa;4
Karol Linetty;26;178;75;1500000;Mediocampista;18
Mateusz Klich;31;183;78;1400000;Mediocampista;17
Krzysztof Piątek;26;183;79;1900000;Delantero;13
Maciej Rybus;32;175;72;1300000;Defensa;22
Tomasz Kędziora;27;186;82;1200000;Defensa;23
Bartosz Białek;20;186;81;1600000;Delantero;16
Łukasz Skorupski;30;191;85;1500000;Portero;1
Grzegorz Krychowiak;31;186;80;1600000;Mediocampista;14
