nombre;edad;altura;peso;salario;posicion;goles
Fernando Santos;67;1.75;-;3000000;Entrenador;-
Rui Patrício;34;190;84;4000000;Portero;0
Rúben Dias;24;187;85;6000000;Defensa;2
João Cancelo;27;182;75;5000000;Defensa;3
Bruno Fernandes;27;179;70;8000000;Mediocampista;8
Cristiano Ronaldo;36;187;83;10000000;Delantero;10
Bernardo Silva;27;173;64;7000000;Mediocampista;7
Diogo Jota;25;178;69;6000000;Delantero;9
Rúben Neves;24;180;80;6000000;Mediocampista;6
Nélson Semedo;28;177;69;5000000;Defensa;2
João Félix;22;181;70;7000000;Delantero;8
Pepe;39;188;81;3000000;Defensa;1
Danilo Pereira;30;187;82;4000000;Mediocampista;5
André Silva;26;184;83;5000000;Delantero;7
Raphaël Guerreiro;28;170;67;5000000;Defensa;2
José Fonte;38;187;85;2000000;Defensa;1
Sérgio Oliveira;29;181;76;4000000;Mediocampista;3
Diogo Dalot;22;184;71;3000000;Defensa;2
Duarte Carvalho;30;183;79;4500000;Mediocampista;11
