nombre;edad;altura;peso;salario;posicion;goles
Murat Yakin;48;1.86;-;2500000;Entrenador;-
Yann Sommer;33;183;78;5000000;Portero;0
Manuel Akanji;26;187;90;7000000;Defensa;1
Nico Elvedi;25;187;84;6000000;Defensa;0
Ricardo Rodríguez;29;182;80;5000000;Defensa;1
Kevin Mbabu;27;183;79;4000000;Defensa;0
Granit Xhaka;29;186;82;8000000;Mediocampista;3
Remo Freuler;29;184;75;6000000;Mediocampista;2
Xherdan Shaqiri;30;169;72;7000000;Mediocampista;4
Breel Embolo;25;186;82;9000000;Delantero;7
Haris Seferović;30;188;87;7000000;Delantero;8
Steven Zuber;30;181;79;5000000;Delantero;5
Denis Zakaria;25;191;80;8000000;Mediocampista;2
Admir Mehmedi;31;178;76;5000000;Delantero;3
Djibril Sow;25;181;74;6000000;Mediocampista;1
Josip Drmić;29;186;81;4000000;Delantero;1
Fabian Schär;30;187;84;6000000;Defensa;1
Silvan Widmer;29;184;78;4000000;Defensa;0
Eray Comert;24;188;80;5000000;Defensa;0
