nombre,edad,altura,peso,salario,posicion,goles
Gregg Berhalter,48,1.85,-,3000000,Entrenador,-
Zack Steffen,27,191,91,5000000,Portero,0
John Brooks,29,193,80,7000000,Defensa,2
DeAndre Yedlin,28,175,73,5000000,Defensa,0
Aaron Long,29,185,80,6000000,Defensa,1
Sergiño Dest,21,175,68,8000000,Defensa,0
Weston McKennie,23,185,85,9000000,Mediocampista,3
Christian Pulisic,23,176,69,12000000,Delantero,10
Tyler Adams,22,173,74,8000000,Mediocampista,2
Gio Reyna,19,180,75,10000000,Delantero,5
Josh Sargent,22,184,79,6000000,Delantero,6
Tim Weah,22,180,70,7000000,Delantero,4
Ethan Horvath,26,194,89,4000000,Portero,0
Chris Richards,21,188,80,5000000,Defensa,1
Kellyn Acosta,26,180,76,6000000,Mediocampista,1
Antonee Robinson,24,180,70,6000000,Defensa,1
Jordan Siebatcheu,25,193,85,7000000,Delantero,3
Matthew Hoppe,20,185,77,5000000,Delantero,2
Timothy Weah,22,180,72,6000000,Delantero,4
